"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018", "tipo"
"5","Granjas",15883,16169,16970,17919,17911,17574,18954,19022,18764,21258,21132,21349,20292,19323,23746,23768,24178,22786,24248,24924,26223,agricultura
"6","Pesca",8344,8648,8931,8423,8595,8867,9164,9694,12147,12746,13108,12322,13354,14032,15002,15916,16839,18119,19368,20039,21167,agricultura
"8","petroleo",10294,10159,10922,11639,11219,11411,12934,14552,17391,19039,23222,21671,23214,26112,29236,30438,33026,32577,28504,24017,24414,mineria
"9","mineria",11180,10973,10588,10817,10435,10292,11011,11987,12924,13479,14389,13301,13922,15300,15609,15334,15346,14853,13459,14270,15229,mineria
"10","Actividades soporte mineria",8053,7494,8169,9825,9018,9501,10731,13734,17606,21310,25120,19997,21857,28002,32092,33812,38477,30719,21273,25709,30908,mineria
"11","Servicios basicos",34837,35856,38377,39764,39882,39390,41010,41906,43599,46139,48071,48796,48920,51035,52670,53323,55086,57430,58226,60579,62109,servicios basicos
"12","Construccion",211377,233316,256698,272371,274015,278567,296640,321548,354612,369738,364308,306976,284934,289184,304567,322163,349130,380711,407498,437140,470446,construccion
"15","                Productos madera",16928,17861,18271,17436,17397,17387,18730,19755,19944,18785,16664,13107,12719,12805,13284,14188,15567,16534,17128,18082,19142,manufactura bienes duraderos
"16","                Productos mineria no metalica",19301,20175,21431,21204,20922,20775,21549,22598,23704,23819,22240,18488,18079,18292,18944,19624,20842,22212,23136,24174,25206,manufactura bienes duraderos
"17","                Metales primarios",27304,27463,27989,25804,23521,22999,24091,24491,25732,25997,26192,20215,21530,24083,25344,25136,26076,25696,24578,25538,27297,manufactura bienes duraderos
"18","                Productos de metal fabricados",61338,62470,65539,63469,60395,59472,62501,65464,69761,72874,74425,62691,64231,69046,74151,75213,79233,80149,78964,81541,86337,manufactura bienes duraderos
"19","                Maquinaria",62939,63288,66516,62434,57349,56117,58597,61257,64898,67756,68961,59517,61112,67954,71960,72340,76108,76847,73527,76632,81103,manufactura bienes duraderos
"20","                Productos electronicos",98855,107001,125314,114382,98883,95137,97789,101708,108017,109759,105999,97964,103613,108640,110137,108480,112463,116099,120820,126777,132723,manufactura bienes duraderos
"21","                Productos electricos",21334,22256,23477,22642,20852,20407,20862,20919,21910,22505,23037,20493,20858,22299,23255,24029,24655,25068,25299,26481,27440,manufactura bienes duraderos
"22","                vehiculos y partes",57149,61534,63437,58504,58156,59254,59708,58449,58990,56468,49174,37438,38558,42115,45315,47499,51924,55887,58083,60316,63953,manufactura bienes duraderos
"23","                Otro equipo de transporte",39773,39994,39420,40375,39898,39533,41792,44229,48623,51081,53255,51673,51235,54749,56571,58716,60497,61708,61107,62847,66931,manufactura bienes duraderos
"24","                Muebles",17768,18864,19829,19136,18561,18318,18943,19221,19709,19447,18079,14459,13808,13919,14308,14820,15592,16630,17422,18138,18568,manufactura bienes duraderos
"25","                Manufactura miscelanea",25522,26442,27704,27790,27596,28251,29339,29683,31001,32351,32698,30633,31125,32122,33605,34510,35608,37177,37247,39040,40834,manufactura bienes duraderos
"27","                Alimentos y bebidas",54149,56244,58663,59857,60647,61861,62568,63536,64670,66981,69028,68183,69778,70887,73357,74519,77949,82684,86308,91445,94823,manufactura bienes no duraderos
"28","                Textiles",17305,17083,17071,15459,14702,13779,13484,12753,12171,11660,10775,8932,8982,9106,9164,9348,9736,9976,10013,10258,10372,manufactura bienes no duraderos
"29","                Ropa y articulos de cuero",14756,13605,13054,11737,10467,9771,9614,9143,8924,8548,8262,6979,6829,6673,6604,6551,6648,6677,6598,6436,6270,manufactura bienes no duraderos
"30","                Productos de papel",26487,26966,27400,26595,25987,25613,25343,25215,25245,25345,25044,23219,23539,23651,23695,23987,24341,24908,24744,25002,25251,manufactura bienes no duraderos
"31","                Impresion y actividades relacionadas",28351,28892,29637,28423,27045,26377,26681,26756,27276,27493,26360,22746,21604,21331,21104,21157,21437,21859,22071,21995,22124,manufactura bienes no duraderos
"32","                Productos de petroleo y carbon",7363,7609,7533,7765,7809,7964,8395,9076,9700,10703,10857,10587,10581,11257,11926,11983,12131,12652,12612,12896,13389,manufactura bienes no duraderos
"33","                Productos quimicos",53792,55872,59277,58593,57692,59121,60827,62970,63580,66756,66773,65089,65753,66558,69208,71497,75472,78453,77089,79141,81023,manufactura bienes no duraderos
"34","                Plasticos y cauchos",30617,32173,33426,31769,31601,31409,32080,32448,33222,32707,32117,28128,29399,30369,31530,32534,34198,35699,37028,38824,40437,manufactura bienes no duraderos
"36","            Bienes duraderos",150519,162692,177618,176505,171327,174167,184939,196233,211620,224807,226610,205177,207618,220992,232459,238197,248721,258562,260502,270737,280375,comercio por mayor
"37","            Bienes no duraderos",91716,96926,104905,108687,111162,115738,122473,128543,137542,146808,149810,144113,147072,153001,160986,163690,171939,180074,180809,186532,185226,comercio por mayor
"39","            vehiculos y partes por menor",58491,63416,67271,70336,72398,73791,75782,78091,79874,81028,75812,66915,69604,74350,78895,83004,88481,95183,98377,101231,104153,comercio por menor
"40","            Tiendas de alimentos y bebidas",50613,52641,55265,56928,57613,58363,58987,59329,60953,63046,65040,64854,65053,65566,67294,68650,71061,74659,76000,78217,79989,comercio por menor
"41","            Tiendas de mercancias en general",40816,42908,46486,48251,50318,53097,55150,58019,60651,63378,64677,65067,65559,67726,69229,69175,71258,73645,76112,77369,79513,comercio por menor
