Comprador,Vendedor,Producto,Unidadesvendidas,Ventasen$,Fecha
Ecuador,Alemania,Narcisos,29103,4523.18,10-08-2020
China,Ecuador,Ciclamen,70721,108682.1,28-04-2020
Peru,Estados Unidos,Ciclamen,32968,28525.65,8-09-2020
China,Estados Unidos,Tulipanes,98837,27219.39,6-08-2020
Estados Unidos,Colombia,Dalias,58244,63166.81,18-04-2018
China,Estados Unidos,Rosas,67974,99179.92,4-03-2018
Estados Unidos,Alemania,Dalias,9112,10215.07,28-05-2019
China,Estados Unidos,Corazon Sangrante,13291,25838.63,23-06-2018
Alemania,Italia,Corazon Sangrante,107846,107066.38,10-05-2020
China,Ecuador,Lirios,66880,25099.49,24-12-2018
Alemania,Estados Unidos,Rosas,66786,41343.66,1-04-2021
Estados Unidos,Colombia,Rosas,108326,35589.85,17-04-2020
Peru,China,Corazon Sangrante,43746,65370.28,19-06-2019
Colombia,Ecuador,Ciclamen,56454,42945.78,21-02-2018
Italia,Colombia,Peonias,72935,121827.94,19-09-2019
Colombia,Peru,Ciclamen,66352,113836.82,6-02-2018
Rusia,Mexico,Rosas,21489,4861.34,22-10-2018
Colombia,Rusia,Ciclamen,65865,25153.12,12-06-2019
China,Italia,Ciclamen,76094,151964.4,19-10-2018
Italia,Francia,Narcisos,115805,115018.1,8-06-2018
Francia,Estados Unidos,Dalias,89753,119192.83,7-12-2021
Ecuador,Colombia,Peonias,74511,57904.68,6-04-2018
Ecuador,Estados Unidos,Rosas,49896,29293.57,24-07-2021
China,Alemania,Margaritas,89564,106817.58,14-02-2021
Mexico,Estados Unidos,Narcisos,73542,97317.07,6-01-2019
Colombia,Mexico,Rosas,68037,43488.68,19-09-2021
China,Estados Unidos,Corazon Sangrante,54327,68496.03,13-05-2020
Alemania,Rusia,Rosas,30118,19830.79,28-07-2020
China,Rusia,Dalias,53298,99728.56,2-05-2020
Peru,Colombia,Azaleas,86171,35632.86,3-10-2020
Italia,Alemania,Tulipanes,110579,160575.63,3-09-2019
Colombia,Francia,Azaleas,93871,113019.48,22-10-2019
China,Colombia,Peonias,38026,49636.14,20-11-2018
Peru,Mexico,Rosas,16847,30505.44,18-04-2020
China,Italia,Peonias,61250,28681.77,25-05-2019
Francia,Colombia,Margaritas,51703,78478.87,22-09-2019
Ecuador,Peru,Azaleas,40024,51377.33,26-05-2019
China,Mexico,Lirios,59124,12516.74,19-01-2020
Estados Unidos,Italia,Rosas,71542,71198.15,21-05-2021
Francia,Mexico,Azaleas,112116,24179.15,14-09-2020
Italia,Mexico,Azaleas,96287,41667.34,7-01-2020
Rusia,Alemania,Narcisos,42973,38707.69,25-11-2018
Alemania,Estados Unidos,Margaritas,85638,67897.14,4-04-2019
Alemania,Peru,Tulipanes,100398,162760.35,8-10-2021
