Comprador,Vendedor,Producto,UnidadesVendidas,VentasEn$,Fecha
Rusia,Mexico,Vino,89325,47539.99,25-11-2021
Ecuador,Colombia,Vino,116422,92245.5,3-05-2019
Italia,Alemania,Banyuls frances,68417,26269.33,13-02-2018
Rusia,Italia,Ron,99504,131760.39,24-04-2020
Alemania,Peru,Ron,19397,34368.27,24-11-2021
Mexico,Ecuador,Brandy,99868,119115.13,27-07-2018
China,Ecuador,Ron,25143,43738.71,20-04-2021
China,Colombia,Madeira,5230,8371.14,7-01-2020
Peru,Rusia,Oporto,35471,32504.96,16-07-2021
Mexico,Peru,Vino,94930,90387.42,14-06-2020
Ecuador,Peru,Cerveza,67817,107139.48,4-05-2021
Francia,Peru,Oporto,36860,44209.52,19-03-2021
Ecuador,Colombia,Ron,72115,20700.58,13-08-2019
Francia,Estados Unidos,Whisky,54651,65380.22,16-01-2018
Colombia,China,Cerveza,104567,191268.06,27-12-2018
Peru,Estados Unidos,Whisky,69740,3037.93,20-11-2018
Colombia,Francia,Cerveza,99483,28677.51,11-12-2020
Alemania,Rusia,Whisky,108939,158418.36,5-05-2019
China,Francia,Ron,114899,11881.76,13-02-2021
Italia,China,Brandy,47191,60229.64,12-02-2020
Estados Unidos,Alemania,Cerveza,8514,8665.37,17-01-2019
Italia,Mexico,Oporto,89178,135621.83,20-08-2018
China,Alemania,Brandy,111973,69605.44,16-09-2018
Rusia,Estados Unidos,Vino,58834,75927.06,26-04-2021
Italia,Colombia,Ron,50325,59260.3,24-07-2021
China,Ecuador,Brandy,8454,2636.27,2-02-2019
Rusia,Peru,Banyuls frances,114987,170184.97,18-06-2021
Ecuador,Estados Unidos,Banyuls frances,117229,193110.93,15-07-2019
China,Peru,Brandy,119643,9106.47,16-07-2019
Francia,Italia,Banyuls frances,37473,58475.11,11-08-2021
Rusia,Francia,Banyuls frances,88166,31264.31,18-06-2019
Colombia,Rusia,Oporto,75528,106826.02,19-01-2018
Colombia,Ecuador,Ron,66944,16277.07,8-06-2021
Colombia,Italia,Ron,112399,108714.98,16-09-2021
Rusia,Francia,Banyuls frances,30538,52252.14,11-06-2019
Rusia,Peru,Madeira,82612,24114.41,25-04-2018
Alemania,Peru,Madeira,106582,22815.14,23-09-2018
China,Mexico,Madeira,34131,63427.52,11-04-2018
Rusia,Francia,Banyuls frances,104950,175029.04,26-10-2018
Ecuador,Mexico,Vino,31795,3968.19,4-12-2019
Peru,Ecuador,Madeira,68372,130656.39,22-11-2018
Ecuador,Colombia,Vino,25911,8934.03,11-07-2021
Colombia,Ecuador,Whisky,92769,128746.87,26-05-2020
Francia,Italia,Oporto,96484,97443.36,2-09-2019
Estados Unidos,Italia,Madeira,49768,51240.75,19-08-2019
Alemania,Colombia,Whisky,84170,33432.15,23-05-2018
Mexico,Ecuador,Whisky,50565,27362.24,23-12-2020
Rusia,Francia,Vodka ,67747,69929.08,16-01-2019
Ecuador,Colombia,Ron,117411,65876.75,26-08-2018
Estados Unidos,Alemania,Cerveza,95191,13861.05,15-04-2018
Rusia,Colombia,Cerveza,45010,82347.58,10-06-2018
