10
10
Anio,fila,columna,hielo(0/1),especie
2009,0,9,1,5
2009,9,4,0,6
2009,4,2,0,5
2009,4,4,0,2
2009,4,8,1,2
2009,1,8,1,3
2009,5,1,1,6
2009,4,0,1,3
2009,1,0,1,1
2009,1,1,1,4
2009,9,5,1,2
2009,7,0,1,6
2009,2,2,0,2
2009,0,0,1,4
2009,4,6,1,5
2009,9,0,1,6
2009,0,4,0,4
2009,2,0,0,4
2009,0,1,0,5
2009,5,6,1,5
2009,0,6,1,0
2009,2,6,0,5
2009,1,4,0,2
2009,8,3,0,2
2009,8,2,0,5
2009,7,2,1,3
2009,6,8,0,3
2009,9,1,0,4
2009,7,6,1,1
2009,5,4,1,4
2009,3,6,0,1
2009,5,0,1,2
2009,9,8,1,3
2009,6,3,1,1
2009,8,9,0,1
2009,5,5,0,4
2009,3,5,0,1
2009,6,7,0,5
2009,7,4,1,4
2009,6,1,1,5
2009,2,4,1,4
2009,3,8,1,2
2009,8,4,0,1
2009,5,9,1,6
2009,1,5,1,4
2009,5,2,0,1
2009,4,1,1,5
2009,9,7,1,1
2009,7,3,1,6
2009,1,6,1,1
2009,2,8,0,3
2009,8,7,1,1
2009,1,2,0,0
2009,8,8,1,4
2009,9,6,0,4
2009,3,9,0,4
2009,7,7,1,6
2009,6,9,1,2
2009,9,3,1,3
2009,4,3,1,6
2009,7,5,0,6
2009,8,5,1,2
2009,5,8,0,4
2009,0,5,0,0
2009,0,2,1,5
2009,0,3,0,0
2009,3,0,0,2
2009,3,4,1,2
2009,6,4,0,1
2009,3,3,1,2
2009,2,9,0,0
2009,3,7,1,3
2009,7,8,1,3
2009,0,8,1,4
2009,5,3,1,6
2009,2,7,0,5
2009,5,7,1,0
2009,1,9,0,1
2009,6,5,0,0
2009,0,7,0,5
2009,4,5,1,4
2009,9,2,0,5
2009,8,1,1,2
2009,3,2,1,3
2009,3,1,0,5
2009,2,3,1,5
2009,2,5,1,1
2009,7,9,0,4
2009,8,6,0,0
2009,1,7,1,1
2009,6,0,0,6
2009,4,9,0,4
2009,6,6,1,4
2009,4,7,0,2
2009,9,9,0,6
2009,6,2,1,4
2009,7,1,0,4
2009,1,3,0,3
2009,8,0,0,3
2009,2,1,1,3
2019,8,5,0,3
2019,6,5,0,4
2019,0,3,1,4
2019,3,9,0,4
2019,8,1,0,3
2019,2,5,0,2
2019,3,8,0,3
2019,0,2,1,2
2019,5,0,1,1
2019,2,9,0,4
2019,3,1,0,2
2019,7,9,0,0
2019,4,6,1,2
2019,0,8,1,1
2019,4,4,0,3
2019,5,6,1,1
2019,3,0,1,2
2019,2,4,0,0
2019,0,0,0,6
2019,5,4,0,5
2019,9,5,0,5
2019,9,2,0,1
2019,7,8,1,6
2019,5,1,0,1
2019,7,3,0,4
2019,3,4,0,6
2019,8,8,1,6
2019,9,0,1,2
2019,8,6,1,6
2019,8,2,1,2
2019,4,7,0,0
2019,4,9,1,6
2019,2,6,1,4
2019,5,2,1,6
2019,7,0,0,1
2019,7,5,1,4
2019,5,9,0,3
2019,2,1,0,1
2019,7,6,0,0
2019,5,8,0,6
2019,0,1,0,6
2019,4,1,1,0
2019,0,7,1,4
2019,1,8,0,5
2019,5,3,0,6
2019,9,6,1,2
2019,7,7,1,1
2019,6,3,0,5
2019,6,0,0,1
2019,4,2,0,0
2019,7,1,0,3
2019,4,8,1,4
2019,0,4,0,0
2019,9,4,1,3
2019,5,5,1,4
2019,8,3,1,5
2019,6,8,1,1
2019,2,8,0,6
2019,0,5,0,1
2019,1,5,0,1
2019,6,7,1,2
2019,6,1,0,3
2019,4,5,0,6
2019,2,3,1,0
2019,7,4,1,0
2019,3,7,0,3
2019,1,3,0,0
2019,6,2,1,1
2019,1,2,0,2
2019,0,9,1,3
2019,0,6,1,5
2019,9,3,0,6
2019,2,7,1,0
2019,5,7,0,6
2019,9,8,1,1
2019,8,4,1,0
2019,1,1,1,6
2019,3,6,1,6
2019,7,2,1,1
2019,9,7,1,5
2019,3,5,0,3
2019,1,6,1,1
2019,6,4,1,2
2019,9,9,0,1
2019,2,2,0,4
2019,1,7,0,2
2019,1,9,0,2
2019,6,6,0,6
2019,2,0,0,1
2019,9,1,1,3
2019,8,7,0,4
2019,3,3,1,5
2019,4,0,0,4
2019,8,9,0,5
2019,3,2,1,4
2019,1,4,1,2
2019,8,0,1,1
2019,4,3,1,1
2019,6,9,0,5
2019,1,0,1,1
